year,week,date,home_team,home_conference,home_points,away_team,away_conference,away_points,significance,home_rank,away_rank,outlet
2013,7,2013-10-12 23:00:00+00:00,Kentucky,SEC,7,Alabama,SEC,48,ranked_matchup,,1.0,ESPN2
2013,7,2013-10-13 00:30:00+00:00,Ole Miss,SEC,38,Texas A&M,SEC,41,ranked_matchup,,9.0,ESPNM
2013,7,2013-10-13 02:30:00+00:00,UCLA,Pac-12,37,California,Pac-12,10,ranked_matchup,11.0,,ESPN2
2013,8,2013-10-17 23:30:00+00:00,North Carolina,ACC,23,Miami,ACC,27,ranked_matchup,,10.0,ESPN
2013,8,2013-10-19 00:00:00+00:00,Louisville,American Athletic,35,UCF,American Athletic,38,ranked_matchup,8.0,,ESPN
2013,8,2013-10-19 16:00:00+00:00,West Virginia,Big 12,27,Texas Tech,Big 12,37,ranked_matchup,,16.0,FS1
2013,8,2013-10-19 16:00:00+00:00,Oklahoma State,Big 12,24,TCU,Big 12,10,ranked_matchup,21.0,,FOX
2013,8,2013-10-19 16:00:00+00:00,Tennessee,SEC,23,South Carolina,SEC,21,ranked_matchup,,11.0,ESPNM
2013,8,2013-10-19 16:00:00+00:00,Vanderbilt,SEC,31,Georgia,SEC,27,ranked_matchup,,15.0,CBS
2013,8,2013-10-19 16:21:00+00:00,Missouri,SEC,36,Florida,SEC,17,ranked_matchup,14.0,22.0,ESGP
2013,8,2013-10-19 19:00:00+00:00,Central Michigan,Mid-American,17,Northern Illinois,Mid-American,38,ranked_matchup,,23.0,ESPN3
2013,8,2013-10-19 19:30:00+00:00,Kansas,Big 12,19,Oklahoma,Big 12,34,ranked_matchup,,18.0,ESPNM
2013,8,2013-10-19 19:30:00+00:00,Ohio State,Big Ten,34,Iowa,Big Ten,24,ranked_matchup,4.0,,ESPN2
2013,8,2013-10-19 19:30:00+00:00,Texas A&M,SEC,41,Auburn,SEC,45,"ranked_matchup,upset_victory",7.0,24.0,CBS
2013,8,2013-10-19 19:30:00+00:00,Stanford,Pac-12,24,UCLA,Pac-12,10,"ranked_matchup,upset_victory",13.0,9.0,ESPN2
2013,8,2013-10-19 22:00:00+00:00,Arizona State,Pac-12,53,Washington,Pac-12,24,ranked_matchup,,20.0,PAC12
2013,8,2013-10-19 23:00:00+00:00,Alabama,SEC,52,Arkansas,SEC,0,ranked_matchup,1.0,,ESPN
2013,8,2013-10-19 23:00:00+00:00,Ole Miss,SEC,27,LSU,SEC,24,ranked_matchup,,6.0,ESPN2
2013,8,2013-10-19 23:00:00+00:00,Baylor,Big 12,71,Iowa State,Big 12,7,ranked_matchup,12.0,,ESPNU
2013,8,2013-10-20 00:00:00+00:00,Clemson,ACC,14,Florida State,ACC,51,"ranked_matchup,upset_victory",3.0,5.0,ABC
2013,8,2013-10-20 00:00:00+00:00,Illinois,Big Ten,32,Wisconsin,Big Ten,56,ranked_matchup,,25.0,BTN
2013,8,2013-10-20 02:00:00+00:00,Oregon,Pac-12,62,Washington State,Pac-12,38,ranked_matchup,2.0,,FS1
2013,8,2013-10-20 02:00:00+00:00,Fresno State,Mountain West,38,UNLV,Mountain West,14,ranked_matchup,17.0,,
2013,9,2013-10-26 16:00:00+00:00,Miami,ACC,24,Wake Forest,ACC,21,ranked_matchup,7.0,,ESPNU
2013,9,2013-10-26 16:00:00+00:00,Minnesota,Big Ten,34,Nebraska,Big Ten,23,ranked_matchup,,25.0,ESPN
2013,9,2013-10-26 16:00:00+00:00,UCF,American Athletic,62,UConn,American Athletic,17,ranked_matchup,21.0,,ESGP
2013,9,2013-10-26 16:00:00+00:00,South Florida,American Athletic,3,Louisville,American Athletic,34,ranked_matchup,,18.0,ESPN2
2013,9,2013-10-26 16:00:00+00:00,Iowa State,Big 12,27,Oklahoma State,Big 12,58,ranked_matchup,,19.0,
2013,9,2013-10-26 16:21:00+00:00,Texas A&M,SEC,56,Vanderbilt,SEC,24,ranked_matchup,14.0,,ESGP
2013,9,2013-10-26 19:30:00+00:00,Virginia Tech,ACC,10,Duke,ACC,13,ranked_matchup,16.0,,ESPNU
2013,9,2013-10-26 19:30:00+00:00,Maryland,ACC,27,Clemson,ACC,40,ranked_matchup,,9.0,ESPN
2013,9,2013-10-26 19:30:00+00:00,Northern Illinois,Mid-American,59,Eastern Michigan,Mid-American,20,ranked_matchup,23.0,,ESGP
2013,9,2013-10-26 19:30:00+00:00,Alabama,SEC,45,Tennessee,SEC,10,ranked_matchup,1.0,,CBS
2013,9,2013-10-26 19:30:00+00:00,Florida State,ACC,49,NC State,ACC,17,ranked_matchup,3.0,,ESPN2
2013,9,2013-10-26 20:45:00+00:00,Oklahoma,Big 12,38,Texas Tech,Big 12,30,"ranked_matchup,upset_victory",17.0,10.0,FOX
2013,9,2013-10-26 23:00:00+00:00,Kansas,Big 12,14,Baylor,Big 12,59,ranked_matchup,,6.0,ESPNU
2013,9,2013-10-26 23:00:00+00:00,LSU,SEC,48,Furman,Southern,16,ranked_matchup,13.0,,ESGP
2013,9,2013-10-26 23:00:00+00:00,Oregon,Pac-12,42,UCLA,Pac-12,14,ranked_matchup,2.0,12.0,ESPN
2013,9,2013-10-26 23:00:00+00:00,Missouri,SEC,24,South Carolina,SEC,27,"ranked_matchup,upset_victory",5.0,20.0,ESPN2
2013,9,2013-10-26 23:30:00+00:00,Auburn,SEC,45,Florida Atlantic,Conference USA,10,ranked_matchup,11.0,,ESGP
2013,9,2013-10-27 00:00:00+00:00,Ohio State,Big Ten,63,Penn State,Big Ten,14,ranked_matchup,4.0,,ABC
2013,9,2013-10-27 02:30:00+00:00,Oregon State,Pac-12,12,Stanford,Pac-12,20,ranked_matchup,,8.0,ESPN
2013,9,2013-10-27 02:30:00+00:00,San Diego State,Mountain West,28,Fresno State,Mountain West,35,ranked_matchup,,15.0,ESPN2
2013,10,2013-11-01 02:30:00+00:00,Washington State,Pac-12,21,Arizona State,Pac-12,55,ranked_matchup,,25.0,ESPN
